"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Rodriguez_Pineiro_1"	"data_Rodriguez_Pineiro_2"	"data_Rodriguez_Pineiro_3"	"data_Rodriguez_Pineiro_4"	"data_Rodriguez_Pineiro_5"	"data_Rodriguez_Pineiro_6"	"data_Rodriguez_Pineiro_7"	"data_Rodriguez_Pineiro_8"	"data_Rodriguez_Pineiro_9"	"data_Rodriguez_Pineiro_10"	"data_Rodriguez_Pineiro_11"	"data_X"	"data_Cyt.Andreyev"	"data_Nucl.Andreyev"	"data_Microsomes.Andreyev"	"data_PM.Andreyev"	"data_ER.Andreyev"	"data_Mito.Andreyev"	"data_X.1"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"	"data_X.2"	"data_Cyt.Boisvert"	"data_Nucl.Boisvert"	"data_Nucleolus.Boisvert"	"data_X.3"	"data_Cyt.Pinto"	"data_Nucl.Pinto"	"data_Tot.Pinto"	"data_X.4"	"data_Cyt.Choi"	"data_Nucl.Choi"	"data_Pellet.Choi"	"data_Nucl.soluble.Choi"	"data_X.5"	"data_Cyt.Mulvey"	"data_Nucl.Mulvey"	"data_Total.Mulvey"	"data_X.6"	"data_cyt.Bileck"	"data_Nucl.Bileck"	"data_X.7"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_X.8"	"data_Cyt.Larance"	"data_Nucleus.Larance"	"data_Cytoskeleton.Larance"	"data_Membrane.Larance"
"ATRAID"	"LYSOSOME"	NA	NA	NA	"integral component of membrane; nuclear envelope; perinuclear region of cytoplasm; plasma membrane"	" Nucleus envelope Cell membrane; Single-pass membrane protein Note=Colocalizes with NELL1 on the nuclear envelope and the perinuclear region"	"overlaps 1"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"ATRAID"	"-"	1	20	32	26	64	28	10	12	8	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"CMTM4"	"ENDOSOME"	"Plasma membrane;Golgi apparatus;Vesicles"	NA	"Uncertain"	"extracellular space; integral component of membrane"	" Membrane; Multi-pass membrane protein"	"overlaps 1"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"CMTM4"	"-"	1	26	28	22	70	28	12	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"HGS"	"ENDOSOME"	"Vesicles"	"Cytoplasm"	"Supportive"	"cytoplasm; cytosol; early endosome; endosome; extracellular vesicular exosome; intracellular membrane-bounded organelle; membrane; secretory granule"	" Cytoplasm Early endosome membrane; Peripheral membrane protein; Cytoplasmic side Endosome multivesicular body membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}"	"overlaps 9"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"HGS"	"-"	6	24	26	24	66	26	10	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	52	25	23	NA	54	38	8	NA	20	1	79	NA	100	1	1	1	NA	61	1	39	NA	99	1	NA	71	1	29	NA	87	1	1	13
"LY75"	"ENDOSOME"	"Golgi apparatus"	NA	"Uncertain"	"extracellular vesicular exosome; integral component of plasma membrane"	" Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}"	"overlaps 3"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"LY75"	"-"	1	26	28	24	68	32	12	8	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	8	82	11	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	95	5	NA	1	1	1	NA	1	1	1	1
"MYADM"	"ENDOSOME"	"Nucleus but not nucleoli"	NA	"Uncertain"	"cell-cell junction; cortical actin cytoskeleton; extracellular vesicular exosome; integral component of membrane; membrane raft; plasma membrane; ruffle"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 8"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"MYADM"	"-"	1	24	28	24	64	24	12	12	6	1	"-"	46	80	58	4	12	1	1	1	1	1	1	NA	4	1	10	58	114	12	NA	1	1	1	NA	25	27	48	NA	1	79	21	NA	1	76	24	1	NA	1	1	1	NA	39	61	NA	1	1	1	NA	1	1	64	36
"SLC20A1"	"ENDOSOME"	"Vesicles"	NA	"Uncertain"	"integral component of plasma membrane; membrane; plasma membrane"	" Membrane; Multi-pass membrane protein"	"overlaps 2"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"SLC20A1"	"-"	1	30	26	22	62	26	14	12	8	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	25	75	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"SPRY4"	"ENDOSOME"	"Cytoplasm;Golgi apparatus"	NA	"Supportive"	"cell projection; cytoplasm; focal adhesion; Golgi apparatus; plasma membrane"	" Cytoplasm {ECO:0000269|PubMed:12027893} Cell projection ruffle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}"	"overlaps 1"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"SPRY4"	"-"	1	22	30	26	64	32	12	6	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"TMEM134"	"ENDOSOME"	"Cytoplasm"	NA	"Supportive"	"integral component of membrane"	" Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}"	"overlaps 1"	216	"LYSOSOME&ENDOSOME"	0.888888888888889	"TMEM134"	"-"	1	26	30	26	68	26	8	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"ATP8A1"	"LYSOSOME"	"Vesicles"	NA	"Supportive"	"cytoplasmic vesicle; endoplasmic reticulum; extracellular vesicular exosome; Golgi apparatus; integral component of membrane; membrane; plasma membrane"	" Cytoplasmic vesicle secretory vesicle chromaffin granule membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Cytoplasmic granule Cell membrane Endoplasmic reticulum Golgi apparatus Note=Exit from the endoplasmic reticulum requires the presence of TMEM30A but not TMEM30B In the presence of TMEM30A predominantly located in cytoplasmic punctate structures and localizes to the plasma membrane Localizes to plasma membranes of red blood cells (By similarity) {ECO:0000250}"	"overlaps 2"	142	"LYSOSOME&ENDOSOME"	1	"ATP8A1"	"-"	1	24	38	30	58	26	8	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	97	3	NA	1	1	1	NA	1	1	1	1
"DNASE2"	"LYSOSOME"	NA	NA	NA	"extracellular vesicular exosome; intracellular; lysosome"	" Lysosome"	"overlaps 7"	142	"LYSOSOME&ENDOSOME"	1	"DNASE2"	"-"	1	24	34	28	56	34	10	8	6	1	"-"	180	20	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	47	52	1	NA	21	15	64	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	100	NA	1	2	1	98
"IFI30"	"LYSOSOME"	"Vesicles;Cell Junctions"	"Plasma membrane;Cytoplasm"	"Supportive"	"cell junction; cytoplasm; extracellular region; intracellular membrane-bounded organelle; lysosomal lumen; lysosome; plasma membrane"	" Secreted Lysosome"	"overlaps 7"	142	"LYSOSOME&ENDOSOME"	1	"IFI30"	"-"	1	26	36	30	54	28	10	8	8	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	6	54	102	38	NA	72	1	28	NA	22	75	3	NA	1	5	95	NA	1	1	1	1	NA	1	1	1	NA	95	5	NA	50	50	1	NA	1	1	1	1
"LAMTOR1"	"LYSOSOME"	"Golgi apparatus"	"Plasma membrane;Vesicles"	"Supportive"	"extracellular vesicular exosome; Golgi apparatus; intracellular membrane-bounded organelle; late endosome membrane; lysosome; membrane raft; plasma membrane; Ragulator complex"	" Late endosome membrane; Lipid-anchor; Cytoplasmic side Lysosome membrane; Lipid-anchor; Cytoplasmic side Cell membrane"	"overlaps 6"	142	"LYSOSOME&ENDOSOME"	1	"LAMTOR1"	"-"	1	22	36	30	60	30	8	6	4	1	"-"	132	54	12	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	98	1	2	NA	1	1	1	NA	1	5	95	NA	1	1	1	1	NA	1	1	1	NA	55	45	NA	1	1	1	NA	1	9	60	29
"SLC11A2"	"LYSOSOME"	"Mitochondria"	NA	"Supportive"	"apical part of cell; apical plasma membrane; basal part of cell; brush border; cell surface; cytoplasm; cytoplasmic vesicle; early endosome; integral component of plasma membrane; late endosome; late endosome membrane; lysosomal membrane; lysosome; membrane; nucleus; paraferritin complex; perinuclear region of cytoplasm; plasma membrane; recycling endosome; trans-Golgi network; vacuole"	" Endosome membrane {ECO:0000269|PubMed:18776082}; Multi-pass membrane protein {ECO:0000269|PubMed:18776082}"	"overlaps 1"	142	"LYSOSOME&ENDOSOME"	1	"SLC11A2"	"-"	1	22	36	26	58	30	10	10	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"TM7SF3"	"LYSOSOME"	"Cytoplasm"	"Nucleus"	"Uncertain"	"extracellular vesicular exosome; integral component of membrane; plasma membrane"	" Cell membrane; Multi-pass membrane protein"	"overlaps 1"	142	"LYSOSOME&ENDOSOME"	1	"TM7SF3"	"-"	1	20	36	28	60	28	10	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"TMEM63A"	"LYSOSOME"	NA	NA	NA	"extracellular vesicular exosome; integral component of membrane; lysosomal membrane"	" Lysosome membrane {ECO:0000269|PubMed:20957757}; Multi-pass membrane protein {ECO:0000269|PubMed:20957757}"	"overlaps 3"	142	"LYSOSOME&ENDOSOME"	1	"TMEM63A"	"-"	1	22	40	26	58	26	4	10	10	6	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	89	11	NA	1	1	100	NA	1	1	1	1
"CTSC"	"LYSOSOME"	NA	NA	NA	"endoplasmic reticulum; extracellular space; extracellular vesicular exosome; Golgi apparatus; lysosome; membrane"	" Lysosome"	"overlaps 11"	232	"LYSOSOME&ENDOSOME"	1	"CTSC"	"-"	1	12	26	30	68	42	10	8	6	1	"-"	160	40	1	1	1	1	1	1	1	1	1	NA	1	28	18	106	28	20	NA	1	97	2	NA	41	54	4	NA	1	1	100	NA	100	1	1	1	NA	74	14	12	NA	99	1	NA	1	1	100	NA	1	1	1	99
"DPP7"	"LYSOSOME"	"Golgi apparatus;Vesicles"	NA	"Supportive"	"cytoplasmic vesicle; cytosol; extracellular vesicular exosome; lysosome"	" Lysosome {ECO:0000269|PubMed:15487984} Cytoplasmic vesicle {ECO:0000269|PubMed:15487984} Secreted {ECO:0000269|PubMed:15487984}"	"overlaps 8"	232	"LYSOSOME&ENDOSOME"	1	"DPP7"	"-"	1	10	28	24	68	42	12	10	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	124	64	8	NA	50	41	9	NA	42	40	18	NA	1	4	95	NA	100	1	1	1	NA	1	1	1	NA	97	3	NA	1	1	1	NA	1	1	1	100
"GM2A"	"LYSOSOME"	NA	NA	NA	"apical cortex; cytoplasmic side of plasma membrane; extracellular vesicular exosome; lysosomal lumen; mitochondrion"	" Lysosome"	"overlaps 6"	232	"LYSOSOME&ENDOSOME"	1	"GM2A"	"-"	1	12	24	28	68	38	12	10	6	1	"-"	190	10	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	49	32	19	NA	18	80	1	NA	12	6	81	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	1	NA	1	1	1	1
"MANBA"	"LYSOSOME"	NA	NA	NA	"intracellular membrane-bounded organelle; lysosome"	" Lysosome"	"overlaps 6"	232	"LYSOSOME&ENDOSOME"	1	"MANBA"	"-"	1	16	26	26	64	40	10	10	6	1	"-"	200	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	46	50	3	NA	1	1	1	NA	1	6	94	NA	1	1	1	1	NA	100	1	1	NA	100	1	NA	1	1	1	NA	1	1	1	1
"PSAP"	"LYSOSOME"	NA	NA	NA	"extracellular region; extracellular space; extracellular vesicular exosome; integral component of membrane; lysosomal lumen; lysosomal membrane; mitochondrion"	" Lysosome {ECO:0000269|PubMed:14657016 ECO:0000269|PubMed:21835174 ECO:0000269|PubMed:23690594};  Prosaposin: Secreted Note=Secreted as a fully glycosylated 70 kDa protein composed of complex glycans"	"overlaps 8"	232	"LYSOSOME&ENDOSOME"	1	"PSAP"	"-"	1	14	26	30	62	42	12	10	6	1	"-"	150	48	4	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	55	36	8	NA	41	58	1	NA	38	12	50	NA	1	1	1	1	NA	65	12	23	NA	100	1	NA	1	1	100	NA	1	1	1	1
"TMEM106B"	"LYSOSOME"	"Vesicles"	NA	"Supportive"	"endosome; extracellular vesicular exosome; integral component of membrane; lysosomal membrane"	" Late endosome membrane; Single-pass type II membrane protein Lysosome membrane; Single-pass type II membrane protein"	"overlaps 4"	232	"LYSOSOME&ENDOSOME"	1	"TMEM106B"	"-"	1	12	26	32	68	46	8	6	4	1	"-"	200	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	146	54	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	99
"TSPAN6"	"LYSOSOME"	"Cytoplasm"	NA	"Uncertain"	"extracellular vesicular exosome; integral component of membrane"	" Membrane; Multi-pass membrane protein"	"overlaps 3"	232	"LYSOSOME&ENDOSOME"	1	"TSPAN6"	"-"	1	12	24	28	66	44	12	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	97	1	NA	100	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"CCDC22"	"ENDOSOME"	"Nucleus but not nucleoli;Cytoplasm"	NA	"Uncertain"	NA	NA	"overlaps 10"	135	"LYSOSOME&ENDOSOME"	1	"CCDC22"	"-"	8	18	26	22	74	26	6	8	10	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	18	6	62	82	30	1	NA	68	32	1	NA	82	14	4	NA	1	1	100	NA	100	1	1	1	NA	51	1	49	NA	60	40	NA	97	1	3	NA	82	1	10	8
"KIAA0196"	"ENDOSOME"	NA	NA	NA	"endoplasmic reticulum; endosome; WASH complex"	" Cytoplasm cytosol {ECO:0000269|PubMed:20833645} Endoplasmic reticulum {ECO:0000269|PubMed:20833645} Note=Colocalizes with SYP/synaptophysin in the external molecular layer of the dentate gyrus and in motoneurons of the ventral horn of spinal cord"	"overlaps 8"	135	"LYSOSOME&ENDOSOME"	1	"KIAA0196"	"-"	12	10	20	24	76	30	10	8	10	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	97	3	1	NA	64	35	1	NA	1	11	89	NA	1	1	1	1	NA	79	21	1	NA	54	46	NA	86	1	14	NA	91	1	1	9
"KIAA1033"	"ENDOSOME"	"Nucleus but not nucleoli"	NA	"Supportive"	"endosome; WASH complex"	NA	"overlaps 9"	135	"LYSOSOME&ENDOSOME"	1	"KIAA1033"	"-"	12	10	18	24	74	36	10	8	8	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	92	2	6	NA	60	35	5	NA	1	1	100	NA	100	1	1	1	NA	74	26	1	NA	38	62	NA	85	1	15	NA	49	1	1	51
"SNX3"	"ENDOSOME"	NA	NA	NA	"cytoplasm; cytosol; early endosome; early endosome membrane; endosome membrane; extracellular vesicular exosome; intracellular membrane-bounded organelle"	" Early endosome {ECO:0000269|PubMed:11433298}"	"overlaps 9"	135	"LYSOSOME&ENDOSOME"	1	"SNX3"	"-"	18	12	20	20	72	30	10	10	6	4	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	56	6	74	34	30	1	NA	1	1	1	NA	70	28	1	NA	26	46	28	NA	100	1	1	1	NA	7	4	89	NA	98	2	NA	65	1	34	NA	61	1	2	37
"VTI1A"	"ENDOSOME"	"Golgi apparatus;Vesicles"	NA	"Supportive"	"clathrin-coated vesicle; endosome; Golgi apparatus; integral component of membrane; neuronal cell body; neuron projection terminus; perinuclear region of cytoplasm; SNARE complex; synaptic vesicle"	" Cytoplasmic vesicle {ECO:0000269|PubMed:19138172} Golgi apparatus membrane {ECO:0000250}; Single-pass type IV membrane protein {ECO:0000250}"	"overlaps 7"	135	"LYSOSOME&ENDOSOME"	1	"VTI1A"	"-"	16	10	18	22	70	36	10	8	6	4	"-"	22	138	26	12	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	77	21	NA	92	8	1	NA	1	1	1	1	NA	1	6	94	NA	82	18	NA	1	1	1	NA	1	1	1	100
"WASH1"	"ENDOSOME"	NA	NA	NA	"early endosome; membrane; recycling endosome; WASH complex"	" Early endosome membrane {ECO:0000269|PubMed:19922874} Recycling endosome membrane {ECO:0000250} Note=Localization to the endodome membrane is mediated via its interaction with FAM21"	"overlaps 5"	135	"LYSOSOME&ENDOSOME"	1	"WASH1"	"-"	12	16	28	22	68	32	8	8	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	100	1	1	1	NA	100	1	1	NA	1	100	NA	100	1	1	NA	1	1	1	1
"CTSL"	"LYSOSOME"	NA	NA	NA	"endolysosome lumen; extracellular region; extracellular space; extracellular vesicular exosome; lysosomal lumen; lysosome; nucleus"	" Lysosome"	"overlaps 8"	75	"LYSOSOME&ENDOSOME"	1	"CTSL"	"-"	1	20	46	26	54	30	10	8	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	76	8	44	38	28	6	NA	1	1	1	NA	31	63	6	NA	44	12	43	NA	1	1	1	1	NA	87	13	1	NA	100	1	NA	12	1	88	NA	1	8	1	92
"LAMP2"	"LYSOSOME"	"Cytoskeleton (Intermediate filaments)"	NA	"Uncertain"	"extracellular vesicular exosome; integral component of membrane; late endosome; late endosome membrane; lysosomal membrane; lysosome; membrane; phagocytic vesicle membrane; plasma membrane; platelet dense granule membrane"	" Cell membrane {ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255|PROSITE-ProRule:PRU00740 ECO:0000269|PubMed:17897319} Endosome membrane {ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255|PROSITE-ProRule:PRU00740 ECO:0000269|PubMed:17897319} Lysosome membrane {ECO:0000255|PROSITE-ProRule:PRU00740 ECO:0000269|PubMed:17897319}; Single-pass type I membrane protein {ECO:0000255|PROSITE-ProRule:PRU00740 ECO:0000269|PubMed:17897319} Note=This protein shuttles between lysosomes endosomes and the plasma membrane"	"overlaps 11"	75	"LYSOSOME&ENDOSOME"	1	"LAMP2"	"-"	1	24	42	32	58	28	8	4	4	1	"-"	134	48	12	1	1	1	1	1	1	1	1	NA	1	1	18	132	48	4	NA	41	54	5	NA	40	55	4	NA	42	14	45	NA	100	1	1	1	NA	33	9	58	NA	100	1	NA	1	22	78	NA	1	1	1	99
"LMBRD1"	"LYSOSOME"	NA	NA	NA	"clathrin-coated endocytic vesicle; integral component of membrane; lysosomal membrane; membrane; plasma membrane"	" Lysosome membrane {ECO:0000269|PubMed:19136951}; Multi-pass membrane protein {ECO:0000269|PubMed:19136951}"	"overlaps 3"	75	"LYSOSOME&ENDOSOME"	1	"LMBRD1"	"-"	1	22	46	32	56	28	6	4	4	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	95	5	1	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	1	NA	1	1	1	1
"SCARB2"	"LYSOSOME"	"Cytoplasm"	NA	"Uncertain"	"extracellular vesicular exosome; focal adhesion; integral component of membrane; lysosomal lumen; lysosomal membrane; membrane"	" Lysosome membrane {ECO:0000269|PubMed:17897319 ECO:0000269|PubMed:18022370 ECO:0000269|PubMed:7509809}; Multi-pass membrane protein {ECO:0000269|PubMed:17897319 ECO:0000269|PubMed:18022370 ECO:0000269|PubMed:7509809}"	"overlaps 11"	75	"LYSOSOME&ENDOSOME"	1	"SCARB2"	"-"	1	22	42	30	60	28	8	6	4	1	"-"	142	48	8	1	1	1	1	1	1	1	1	NA	1	1	14	96	60	30	NA	86	1	14	NA	41	54	4	NA	62	18	20	NA	100	1	1	1	NA	12	37	51	NA	100	1	NA	1	1	100	NA	1	3	1	97
"SLC38A7"	"LYSOSOME"	"Plasma membrane;Cytoplasm"	"Nucleus but not nucleoli"	"Uncertain"	"axon; integral component of membrane; neuronal cell body"	" Membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Note=In neurons located in soma and axons {ECO:0000250}"	"overlaps 1"	75	"LYSOSOME&ENDOSOME"	1	"SLC38A7"	"-"	1	24	44	32	56	28	8	6	1	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"SNX4"	"ENDOSOME"	NA	NA	NA	"cytoplasm; cytoplasmic dynein complex; early endosome membrane; membrane; protein complex"	" Early endosome membrane {ECO:0000269|PubMed:17994011}; Peripheral membrane protein {ECO:0000269|PubMed:17994011}; Cytoplasmic side {ECO:0000269|PubMed:17994011} Note=Also detected on a juxtanuclear endocytic recycling compartment (ERC)"	"overlaps 9"	228	"LYSOSOME&ENDOSOME"	1	"SNX4"	"-"	12	8	18	22	84	32	8	10	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	78	12	38	72	1	1	NA	33	33	33	NA	1	1	1	NA	1	1	100	NA	100	1	1	1	NA	100	1	1	NA	100	1	NA	86	1	14	NA	61	1	1	39
"STX16"	"ENDOSOME"	"Vesicles"	NA	"Supportive"	"cytoplasm; focal adhesion; Golgi apparatus; integral component of membrane; intracellular membrane-bounded organelle; nucleolus; SNARE complex"	" Golgi apparatus membrane; Single-pass type IV membrane protein;  Isoform C: Cytoplasm"	"overlaps 6"	228	"LYSOSOME&ENDOSOME"	1	"STX16"	"-"	1	6	22	24	88	30	12	6	4	1	"-"	10	70	120	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	67	30	3	NA	90	9	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	100	1	NA	1	1	100	NA	1	1	1	1
"STX6"	"ENDOSOME"	"Golgi apparatus"	"Nucleus but not nucleoli"	"Supportive"	"clathrin-coated vesicle; early endosome; Golgi apparatus; integral component of membrane; perinuclear region of cytoplasm; plasma membrane; SNARE complex; trans-Golgi network membrane"	" Golgi apparatus membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}"	"overlaps 7"	228	"LYSOSOME&ENDOSOME"	1	"STX6"	"-"	1	10	20	22	86	34	12	12	6	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	52	110	32	6	NA	1	1	1	NA	1	97	1	NA	79	20	1	NA	1	1	1	1	NA	1	1	1	NA	96	4	NA	1	41	59	NA	1	1	50	50
"TPCN1"	"ENDOSOME"	NA	NA	NA	"endosome membrane; integral component of membrane; lysosomal membrane; plasma membrane"	" Lysosome membrane {ECO:0000269|PubMed:19620632}; Multi-pass membrane protein {ECO:0000269|PubMed:19620632} Endosome membrane {ECO:0000269|PubMed:19620632}; Multi-pass membrane protein {ECO:0000269|PubMed:19620632}"	"overlaps 3"	228	"LYSOSOME&ENDOSOME"	1	"TPCN1"	"-"	1	8	22	22	88	32	10	8	8	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	16	76	40	66	NA	1	1	1	NA	98	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
"VPS26B"	"ENDOSOME"	NA	NA	NA	"cytosol; intracellular membrane-bounded organelle; membrane"	" Cytoplasm Membrane; Peripheral membrane protein Note=Does not localize to endosomes {ECO:0000250}"	"overlaps 7"	228	"LYSOSOME&ENDOSOME"	1	"VPS26B"	"-"	6	8	18	20	90	28	12	12	8	1	"-"	1	1	1	1	1	1	1	1	1	1	1	NA	34	1	114	52	1	1	NA	95	5	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	100	1	1	NA	93	7	NA	65	1	35	NA	9	1	1	91
"CLCN3"	"ENDOSOME"	"Cytoplasm"	NA	"Uncertain"	"apical plasma membrane; cell surface; cytoplasmic vesicle; early endosome; Golgi apparatus; integral component of membrane; late endosome; membrane; vesicle membrane"	" Isoform 1: Membrane; Multi-pass membrane protein Early endosome membrane; Multi-pass membrane protein Late endosome membrane; Multi-pass membrane protein Cytoplasmic vesicle secretory vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250} Note=Isoform 1 is localized mainly in early and late endosomes;  Isoform 2: Membrane; Multi-pass membrane protein Early endosome membrane; Multi-pass membrane protein Late endosome membrane; Multi-pass membrane protein Golgi apparatus membrane; Multi-pass membrane protein Note=Isoform 2 partially colocalized with isoform 1 but is mainly enriched in the Golgi"	"overlaps 3"	409	"LYSOSOME&ENDOSOME"	1	"CLCN3"	"-"	1	8	22	22	72	42	18	10	6	1	"-"	6	32	158	1	1	1	1	1	1	1	1	NA	1	1	42	76	72	10	NA	1	1	1	NA	1	1	1	NA	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	1	NA	1	1	1	1
