"Annot_Gene"	"Annot_Christoforou_UniprotGO_overlap3"	"HPA.main.location"	"HPA.Other.loc"	"HPA.Reliability"	"Gene.ontology.cellular.component"	"Uniprot.Subcellular.location"	"overlap"	"clusters"	"assigned_location_Christoforou_UniprotGO_overlap3"	"precision_assigned_location_Christoforou_UniprotGO_overlap3"	"data_Gene"	"data_non_NUM_space"	"data_Christoforou_126"	"data_Christoforou_127N"	"data_Christoforou_127C"	"data_Christoforou_128N"	"data_Christoforou_128C"	"data_Christoforou_129N"	"data_Christoforou_129C"	"data_Christoforou_130N"	"data_Christoforou_131"	"data_Christoforou_130C"	"data_non_NUM_space.1"	"data_Bileck.cyt"	"data_Bileck.Nucl"	"data_non_NUM_space.x"	"data_Cyt.Thakar"	"data_Nucl.Thakar"	"data_TOT.Thakar"	"data_non_NUM_space.y"	"data_Cyt.Carvalho"	"data_Nucl.Carvalho"	"data_Mit.Carvalho"
"GSTZ1"	""	"Cytoplasm"	"Nucleus but not nucleoli"	"Uncertain"	"cytosol; mitochondrion"	" Cytoplasm "	"overlaps 3"	32	"CYTOSOL"	1	"GSTZ1"	"-"	46	20	16	8	12	16	22	30	26	4	"-"	100	1	"-"	90	1	10	"-"	87	6	7
"PGM3"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm"	"Cytoskeleton (Intermediate filaments);Cytoskeleton (Microtubules);Aggresome"	"Supportive"	"cytosol"	NA	"overlaps 3"	32	"CYTOSOL"	1	"PGM3"	"-"	122	26	24	8	12	4	1	1	1	1	"-"	100	1	"-"	91	1	9	"-"	94	1	6
"PSMD9"	"CYTOSOL"	"Cytoplasm"	"Plasma membrane"	"Supportive"	"cytosol; nucleoplasm; nucleus; proteasome regulatory particle"	NA	"overlaps 3"	32	"CYTOSOL"	1	"PSMD9"	"-"	100	26	30	14	18	4	1	4	1	1	"-"	97	3	"-"	93	1	7	"-"	92	1	8
"TTC27"	"CYTOSOL"	"Mitochondria"	"Nucleoli"	"Uncertain"	NA	NA	"overlaps 3"	32	"CYTOSOL"	1	"TTC27"	"-"	98	20	22	10	14	10	10	6	12	1	"-"	100	1	"-"	93	1	7	"-"	89	3	7
"BLMH"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleus"	" Cytoplasm"	"overlaps 3"	43	"CYTOSOL"	1	"BLMH"	"-"	88	36	22	14	18	12	4	1	1	1	"-"	92	8	"-"	81	1	19	"-"	69	30	1
"EML4"	""	"Cytoplasm;Cytoskeleton (Microtubules)"	"Cytoskeleton (Intermediate filaments)"	"Uncertain"	"cytoplasm; membrane; microtubule; mitotic spindle"	" Cytoplasm cytoskeleton {ECO:0000305}"	"overlaps 3"	43	"CYTOSOL"	1	"EML4"	"-"	72	16	16	4	12	10	10	24	26	12	"-"	90	10	"-"	82	1	18	"-"	65	34	1
"GPS1"	""	NA	NA	NA	"COP9 signalosome; cytoplasm; nucleus"	" Cytoplasm {ECO:0000269|PubMed:9535219} Nucleus {ECO:0000269|PubMed:9535219}"	"overlaps 3"	43	"CYTOSOL"	1	"GPS1"	"-"	98	14	14	6	14	6	4	20	18	6	"-"	94	6	"-"	80	1	19	"-"	70	30	1
"HSPB1"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytoskeleton; cytosol; extracellular space; extracellular vesicular exosome; focal adhesion; nucleus; plasma membrane; proteasome complex; Z disc"	" Cytoplasm Nucleus Cytoplasm cytoskeleton spindle Note=Cytoplasmic in interphase cells Colocalizes with mitotic spindles in mitotic cells Translocates to the nucleus during heat shock and resides in sub-nuclear structures known as SC35 speckles or nuclear splicing speckles"	"overlaps 3"	43	"CYTOSOL"	1	"HSPB1"	"-"	82	24	20	12	18	12	6	12	14	1	"-"	91	9	"-"	85	2	13	"-"	68	32	1
"RRM1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cell projection; cytoplasm; cytosol; extracellular vesicular exosome; neuronal cell body; nuclear envelope; nucleoplasm"	" Cytoplasm"	"overlaps 3"	43	"CYTOSOL"	1	"RRM1"	"-"	84	34	24	12	12	10	4	8	8	1	"-"	93	7	"-"	85	1	15	"-"	66	34	1
"YWHAB"	""	NA	NA	NA	"cytoplasm; cytoplasmic vesicle membrane; cytosol; extracellular vesicular exosome; focal adhesion; membrane; nucleus; perinuclear region of cytoplasm; transcriptional repressor complex"	" Cytoplasm "	"overlaps 3"	43	"CYTOSOL"	1	"YWHAB"	"-"	66	36	24	18	26	14	6	4	1	1	"-"	91	9	"-"	85	3	13	"-"	69	30	1
"NME2"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cell periphery; cytoplasm; cytosol; extracellular vesicular exosome; lamellipodium; nucleus; ruffle"	" Cytoplasm Nucleus Cell projection lamellipodium Cell projection ruffle Note=Isoform 2 is mainly cytoplasmic and isoform 1 and isoform 2 are excluded from the nucleolus Colocalizes with ITGB1 and ITGB1BP1 at the edge or peripheral ruffles and lamellipodia during the early stages of cell spreading on fibronectin or collagen but not on vitronectin or laminin substrates"	"overlaps 3"	194	"CYTOSOL"	1	"NME2"	"-"	108	16	18	10	14	14	8	6	4	1	"-"	100	1	"-"	1	100	1	"-"	74	26	1
"PAICS"	"CYTOSOL"	"Cytoplasm"	NA	"Uncertain"	"cytosol; extracellular vesicular exosome; membrane"	NA	"overlaps 3"	194	"CYTOSOL"	1	"PAICS"	"-"	86	28	24	12	16	10	4	8	8	1	"-"	100	1	"-"	1	100	1	"-"	62	37	1
"PSMD13"	"CYTOSOL"	"Nucleus"	"Nucleoli;Cytoplasm"	"Supportive"	"cytosol; extracellular vesicular exosome; membrane; nucleoplasm; nucleus; proteasome accessory complex; proteasome complex; proteasome regulatory particle"	NA	"overlaps 3"	194	"CYTOSOL"	1	"PSMD13"	"-"	116	16	18	6	10	6	4	10	10	4	"-"	93	7	"-"	1	100	1	"-"	48	52	1
"TRAPPC6B"	""	"Endoplasmic reticulum"	NA	"Uncertain"	"endoplasmic reticulum; Golgi apparatus"	" Golgi apparatus cis-Golgi network {ECO:0000250} Endoplasmic reticulum {ECO:0000250}"	"overlaps 3"	194	"CYTOSOL"	1	"TRAPPC6B"	"-"	16	30	22	26	22	20	1	24	18	24	"-"	94	6	"-"	1	100	1	"-"	65	35	1
"AKR1A1"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Uncertain"	"apical plasma membrane; cytosol; extracellular space; extracellular vesicular exosome"	NA	"overlaps 3"	207	"CYTOSOL"	1	"AKR1A1"	"-"	102	24	28	10	14	6	1	4	6	1	"-"	100	1	"-"	87	1	13	"-"	73	27	1
"COPS7B"	""	"Nucleus but not nucleoli"	NA	"Supportive"	"COP9 signalosome; cytoplasm; nucleus"	" Cytoplasm Nucleus"	"overlaps 3"	207	"CYTOSOL"	1	"COPS7B"	"-"	50	28	22	10	14	16	22	16	14	10	"-"	98	2	"-"	86	1	14	"-"	74	26	1
"FAH"	""	NA	NA	NA	"cytosol; extracellular vesicular exosome"	NA	"overlaps 3"	207	"CYTOSOL"	1	"FAH"	"-"	70	24	16	12	12	1	8	16	44	1	"-"	100	1	"-"	86	1	14	"-"	73	27	1
"FKBP4"	"CYTOSOL"	"Cytoplasm"	"Nucleus but not nucleoli"	"Supportive"	"axonal growth cone; cytoplasm; cytosol; endoplasmic reticulum membrane; extracellular vesicular exosome; microtubule; mitochondrion; neuronal cell body; nucleus; perinuclear region of cytoplasm"	" Cytoplasm cytosol {ECO:0000250} Mitochondrion Nucleus Cytoplasm cytoskeleton {ECO:0000250} Note=Shuttles from mitochondria to nucleus; co-localizes in mitochondria with the glucocorticoid receptor"	"overlaps 3"	207	"CYTOSOL"	1	"FKBP4"	"-"	100	28	24	10	14	8	4	6	4	4	"-"	97	3	"-"	86	1	13	"-"	73	27	1
"PGAM1"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; extracellular vesicular exosome; membrane"	NA	"overlaps 3"	207	"CYTOSOL"	1	"PGAM1"	"-"	106	26	28	10	12	8	1	1	1	1	"-"	98	2	"-"	87	1	13	"-"	72	27	1
"KIF5B"	""	"Cytoplasm;Microtubule organizing center"	NA	"Supportive"	"ciliary rootlet; cytoplasm; endocytic vesicle; kinesin complex; membrane; microtubule; microtubule organizing center; neuron projection; perinuclear region of cytoplasm; vesicle"	" Cytoplasm cytoskeleton {ECO:0000250} Note=Uniformly distributed between soma and neurites in hippocampal neurons {ECO:0000250}"	"overlaps 3"	221	"CYTOSOL"	1	"KIF5B"	"-"	34	20	18	8	16	16	20	28	32	6	"-"	97	3	"-"	83	1	17	"-"	76	22	2
"MMS19"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Supportive"	"CIA complex; cytoplasm; holo TFIIH complex; membrane; MMXD complex; nucleus; spindle"	" Nucleus Cytoplasm cytoskeleton spindle"	"overlaps 3"	221	"CYTOSOL"	1	"MMS19"	"-"	92	24	20	10	14	16	6	6	6	4	"-"	100	1	"-"	85	1	15	"-"	77	23	1
"PFAS"	"CYTOSOL"	"Nucleus but not nucleoli"	"Plasma membrane"	"Supportive"	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	221	"CYTOSOL"	1	"PFAS"	"-"	144	12	20	4	6	4	1	1	1	1	"-"	100	1	"-"	83	1	16	"-"	79	21	1
"ROCK1"	""	NA	NA	NA	"cytoskeleton; cytosol; Golgi apparatus; lamellipodium; plasma membrane; ruffle"	" Cytoplasm Cytoplasm cytoskeleton microtubule organizing center centrosome centriole {ECO:0000250} Golgi apparatus membrane; Peripheral membrane protein Cell projection bleb Cytoplasm cytoskeleton {ECO:0000250} Cell membrane {ECO:0000250} Cell projection lamellipodium {ECO:0000250} Cell projection ruffle {ECO:0000250} Note=Associated with the mother centriole and an intercentriolar linker Colocalizes with ITGB1BP1 and ITGB1 at the cell membrane predominantly in lamellipodia and membrane ruffles but also in retraction fibers Localizes at the cell membrane in an ITGB1BP1-dependent manner (By similarity) A small proportion is associated with Golgi membranes {ECO:0000250}"	"overlaps 3"	221	"CYTOSOL"	1	"ROCK1"	"-"	8	60	34	16	20	30	14	10	4	4	"-"	97	3	"-"	84	1	16	"-"	78	22	1
"TPI1"	"CYTOSOL"	"Nucleus but not nucleoli"	NA	"Supportive"	"cytosol; extracellular space; extracellular vesicular exosome; nucleus"	NA	"overlaps 3"	221	"CYTOSOL"	1	"TPI1"	"-"	116	20	24	10	12	6	4	4	4	1	"-"	98	2	"-"	85	1	15	"-"	79	20	1
"FBXO22"	"CYTOSOL"	NA	NA	NA	"cytoplasm; nucleus"	" Cytoplasm myofibril sarcomere Z line {ECO:0000250}"	"overlaps 3"	248	"CYTOSOL"	1	"FBXO22"	"-"	82	34	30	14	18	10	4	1	1	1	"-"	100	1	"-"	64	1	34	"-"	33	33	33
"HN1"	"CYTOSOL"	"Nucleus;Nucleoli;Nuclear membrane"	NA	"Supportive"	"nucleus"	" Nucleus"	"overlaps 3"	248	"CYTOSOL"	1	"HN1"	"-"	100	32	20	12	8	10	6	4	8	1	"-"	100	1	"-"	75	1	25	"-"	33	33	33
"HS1BP3"	"CYTOSOL"	"Nucleoli"	"Cytoplasm"	"Uncertain"	NA	NA	"overlaps 3"	248	"CYTOSOL"	1	"HS1BP3"	"-"	82	26	24	8	14	8	8	10	12	6	"-"	98	2	"-"	73	1	27	"-"	33	33	33
"OTUD6B"	""	"Nucleus but not nucleoli;Cytoplasm;Golgi apparatus"	NA	"Uncertain"	NA	NA	"overlaps 3"	248	"CYTOSOL"	1	"OTUD6B"	"-"	64	1	1	1	14	1	10	44	50	18	"-"	92	8	"-"	63	1	37	"-"	33	33	33
"ARF4"	"CYTOSOL"	NA	NA	NA	"cytosol; extracellular vesicular exosome; Golgi apparatus; membrane; ruffle membrane"	" Golgi apparatus"	"overlaps 3"	292	"CYTOSOL"	1	"ARF4"	"-"	58	40	32	16	18	12	6	8	8	1	"-"	96	4	"-"	64	10	26	"-"	43	56	1
"ARL1"	""	NA	NA	NA	"cytoplasm; extracellular vesicular exosome; Golgi apparatus; membrane; trans-Golgi network"	" Golgi apparatus membrane {ECO:0000269|PubMed:11303027}; Peripheral membrane protein {ECO:0000269|PubMed:11303027}; Cytoplasmic side {ECO:0000269|PubMed:11303027}"	"overlaps 3"	292	"CYTOSOL"	1	"ARL1"	"-"	68	32	34	8	26	6	8	8	10	1	"-"	100	1	"-"	61	9	30	"-"	42	58	1
"PSMB6"	"CYTOSOL"	"Nucleus but not nucleoli;Cytoplasm;Golgi apparatus"	NA	"Supportive"	"cytosol; extracellular vesicular exosome; nucleoplasm; nucleus; proteasome complex; proteasome core complex"	" Cytoplasm Nucleus"	"overlaps 3"	292	"CYTOSOL"	1	"PSMB6"	"-"	126	18	18	6	12	6	1	4	6	1	"-"	96	4	"-"	63	8	29	"-"	43	55	3
"PSMD8"	"CYTOSOL"	"Cytoplasm"	"Nucleus but not nucleoli"	"Uncertain"	"cytosol; extracellular vesicular exosome; nucleoplasm; nucleus; proteasome accessory complex; proteasome complex; proteasome regulatory particle"	NA	"overlaps 3"	292	"CYTOSOL"	1	"PSMD8"	"-"	126	14	14	6	10	8	4	6	8	4	"-"	91	9	"-"	65	10	24	"-"	44	56	1
"GMDS"	""	NA	NA	NA	"cytoplasm; extracellular vesicular exosome"	NA	"overlaps 3"	313	"CYTOSOL"	1	"GMDS"	"-"	26	22	14	14	30	36	28	14	8	6	"-"	100	1	"-"	77	1	23	"-"	82	18	1
"GMFB"	"CYTOSOL"	NA	NA	NA	"intracellular"	NA	"overlaps 3"	313	"CYTOSOL"	1	"GMFB"	"-"	82	34	30	12	14	12	4	4	1	8	"-"	100	1	"-"	81	1	19	"-"	79	21	1
"MGEA5"	"CYTOSOL"	NA	NA	NA	"cytoplasm; membrane; nucleus"	" Isoform 3: Nucleus;  Isoform 1: Cytoplasm"	"overlaps 3"	313	"CYTOSOL"	1	"MGEA5"	"-"	120	22	24	8	10	6	4	1	1	1	"-"	100	1	"-"	80	1	20	"-"	78	20	2
"TTC1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"peroxisomal membrane"	NA	"overlaps 3"	313	"CYTOSOL"	1	"TTC1"	"-"	112	30	16	8	12	12	6	1	1	1	"-"	100	1	"-"	80	1	20	"-"	77	22	1
"AASDHPPT"	"CYTOSOL"	NA	NA	NA	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	339	"CYTOSOL"	1	"AASDHPPT"	"-"	56	20	36	8	14	4	10	26	18	6	"-"	100	1	"-"	69	1	31	"-"	39	59	2
"ASNA1"	"CYTOSOL"	"Nucleoli"	"Nucleus"	"Supportive"	"cytoplasm; endoplasmic reticulum; extracellular vesicular exosome; nucleolus; nucleus"	" Cytoplasm Endoplasmic reticulum Nucleus nucleolus"	"overlaps 3"	339	"CYTOSOL"	1	"ASNA1"	"-"	102	22	24	8	12	10	1	8	8	4	"-"	99	1	"-"	70	2	28	"-"	44	55	1
"COPS3"	""	"Nucleus"	"Cytoplasm"	"Supportive"	"COP9 signalosome; cytoplasm"	" Cytoplasm {ECO:0000269|PubMed:9535219} Nucleus {ECO:0000269|PubMed:9535219}"	"overlaps 3"	339	"CYTOSOL"	1	"COPS3"	"-"	88	16	18	10	12	10	6	14	14	12	"-"	98	2	"-"	67	1	33	"-"	41	59	1
"HDGF"	""	"Nucleus but not nucleoli"	NA	"Supportive"	"cytoplasm; extracellular space; nucleoplasm; nucleus; transcriptional repressor complex"	" Cytoplasm Nucleus"	"overlaps 3"	339	"CYTOSOL"	1	"HDGF"	"-"	30	4	4	1	1	4	16	54	44	38	"-"	97	3	"-"	64	1	36	"-"	44	56	1
"PAPOLA"	""	"Nucleus but not nucleoli"	NA	"Supportive"	"cytoplasm; nucleoplasm; nucleus"	" Cytoplasm Nucleus Note=The 90 kDa form is nuclear while the 100 kDa and the 106 kDa forms are both nuclear and cytoplasmic"	"overlaps 3"	339	"CYTOSOL"	1	"PAPOLA"	"-"	106	12	12	1	4	6	8	12	16	22	"-"	99	1	"-"	71	1	29	"-"	38	62	1
"PARG"	""	"Nucleus"	"Vesicles"	"Supportive"	"cytoplasm; mitochondrion; nucleus"	" Isoform 1: Nucleus {ECO:0000269|PubMed:16460818 ECO:0000269|PubMed:21398629} Note=Colocalizes with PCNA at replication foci Relocalizes to the cytoplasm in response to DNA damage;  Isoform 2: Cytoplasm {ECO:0000269|PubMed:16460818} Note=Translocates to the nucleus in response to DNA damage;  Isoform 3: Cytoplasm;  Isoform 4: Cytoplasm Mitochondrion;  Isoform 5: Mitochondrion matrix"	"overlaps 3"	339	"CYTOSOL"	1	"PARG"	"-"	70	8	12	4	18	14	10	20	32	10	"-"	98	2	"-"	70	1	30	"-"	43	57	1
"PSMB3"	"CYTOSOL"	"Mitochondria"	"Nucleus but not nucleoli;Cytoplasm;Golgi apparatus;Cytoskeleton (Actin filaments)"	"Supportive"	"actin cytoskeleton; cytoplasm; cytosol; extracellular vesicular exosome; Golgi apparatus; mitochondrion; nucleoplasm; nucleus; proteasome complex; proteasome core complex"	" Cytoplasm Nucleus"	"overlaps 3"	339	"CYTOSOL"	1	"PSMB3"	"-"	120	22	22	6	8	6	1	4	4	1	"-"	97	3	"-"	64	3	33	"-"	40	60	1
"FASN"	"CYTOSOL"	"Cytoplasm"	"Plasma membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; glycogen granule; Golgi apparatus; membrane; mitochondrion; plasma membrane"	" Cytoplasm "	"overlaps 3"	352	"CYTOSOL"	1	"FASN"	"-"	90	30	26	12	16	10	4	4	4	1	"-"	99	1	"-"	92	1	7	"-"	74	26	1
"PAFAH1B2"	"CYTOSOL"	"Cytoplasm"	"Nucleoli;Plasma membrane"	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome; nucleolus; plasma membrane"	" Cytoplasm"	"overlaps 3"	352	"CYTOSOL"	1	"PAFAH1B2"	"-"	112	20	20	12	16	8	1	6	4	1	"-"	99	1	"-"	92	1	7	"-"	72	28	1
"PGLS"	"CYTOSOL"	"Nucleus but not nucleoli"	"Cytoplasm"	"Supportive"	"cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	352	"CYTOSOL"	1	"PGLS"	"-"	88	22	16	8	10	12	1	10	22	8	"-"	99	1	"-"	94	1	6	"-"	76	24	1
"TIPRL"	""	"Cytoplasm;Vesicles"	NA	"Supportive"	"cytoplasm; intracellular membrane-bounded organelle"	" Cytoplasm "	"overlaps 3"	352	"CYTOSOL"	1	"TIPRL"	"-"	86	30	22	10	12	8	6	16	10	1	"-"	100	1	"-"	95	1	5	"-"	74	26	1
"FABP5"	"CYTOSOL"	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome"	" Cytoplasm"	"overlaps 3"	365	"CYTOSOL"	1	"FABP5"	"-"	108	22	18	10	12	12	4	4	6	4	"-"	98	2	"-"	98	1	2	"-"	89	11	1
"TBCD"	"CYTOSOL"	NA	NA	NA	"adherens junction; cytoplasm; lateral plasma membrane; microtubule; tight junction"	" Cell junction tight junction {ECO:0000250} Lateral cell membrane {ECO:0000250} Cytoplasm {ECO:0000250} Cell junction adherens junction {ECO:0000250} Note=Localized in cell-cell contacts {ECO:0000250}"	"overlaps 3"	365	"CYTOSOL"	1	"TBCD"	"-"	76	32	24	14	16	14	8	6	8	4	"-"	100	1	"-"	96	1	4	"-"	89	10	1
"UCHL3"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; nucleus"	" Cytoplasm"	"overlaps 3"	365	"CYTOSOL"	1	"UCHL3"	"-"	112	32	28	10	10	8	1	1	1	1	"-"	100	1	"-"	96	1	4	"-"	90	10	1
"APIP"	"CYTOSOL"	"Nucleus but not nucleoli"	"Cytoplasm"	"Uncertain"	"cytosol"	" Cytoplasm "	"overlaps 3"	14	"CYTOSOL"	0.75	"APIP"	"-"	150	14	14	6	12	1	1	1	1	1	"-"	95	5	"-"	100	1	1	"-"	97	3	1
"DCK"	""	"Nucleus"	NA	"Uncertain"	"cytosol; nucleus"	" Nucleus {ECO:0000269|PubMed:9342341}"	"overlaps 3"	14	"CYTOSOL"	0.75	"DCK"	"-"	156	1	18	4	4	1	4	4	4	1	"-"	98	2	"-"	100	1	1	"-"	97	1	3
"PRUNE"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cell junction; cytoplasm; nucleus"	" Cytoplasm Nucleus Cell junction focal adhesion Note=In some transfected cells a nuclear staining is also observed"	"overlaps 3"	14	"CYTOSOL"	0.75	"PRUNE"	"-"	92	26	26	12	18	10	4	6	4	1	"-"	99	1	"-"	100	1	1	"-"	100	1	1
"RPAP1"	"NUCLEUS"	"Nucleus but not nucleoli"	"Cytoplasm"	"Uncertain"	"nucleus"	" Nucleus {ECO:0000250}"	"overlaps 3"	14	"CYTOSOL"	0.75	"RPAP1"	"-"	80	20	18	8	10	6	6	22	22	4	"-"	100	1	"-"	99	1	1	"-"	97	3	1
"TMSB10"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytoskeleton"	" Cytoplasm cytoskeleton"	"overlaps 3"	14	"CYTOSOL"	0.75	"TMSB10"	"-"	106	24	34	10	18	6	1	1	1	1	"-"	100	1	"-"	100	1	1	"-"	100	1	1
"TRMT11"	""	NA	NA	NA	NA	NA	"overlaps 3"	14	"CYTOSOL"	0.75	"TRMT11"	"-"	70	14	20	4	10	10	14	30	30	1	"-"	100	1	"-"	100	1	1	"-"	100	1	1
"CAP1"	""	"Cytoplasm"	NA	"Supportive"	"cortical actin cytoskeleton; extracellular vesicular exosome; focal adhesion; plasma membrane"	" Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}"	"overlaps 3"	58	"CYTOSOL"	0.75	"CAP1"	"-"	64	42	30	16	22	14	4	4	1	1	"-"	99	1	"-"	88	1	11	"-"	76	23	1
"DERA"	"CYTOSOL"	NA	NA	NA	"cytoplasm; extracellular vesicular exosome"	NA	"overlaps 3"	58	"CYTOSOL"	0.75	"DERA"	"-"	86	30	24	14	12	10	8	8	10	1	"-"	100	1	"-"	87	3	11	"-"	76	24	1
"DPP9"	"RIBOSOME"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; membrane"	" Cytoplasm cytosol "	"overlaps 3"	58	"CYTOSOL"	0.75	"DPP9"	"-"	32	20	22	8	18	20	10	24	34	8	"-"	100	1	"-"	87	1	13	"-"	75	25	1
"HUWE1"	"CYTOSOL"	"Nucleus;Cytoplasm"	NA	"Supportive"	"cytoplasm; extracellular vesicular exosome; membrane; nucleus"	" Cytoplasm {ECO:0000269|PubMed:19713937} Nucleus {ECO:0000269|PubMed:19713937} Note=Mainly expressed in the cytoplasm of most tissues except in the nucleus of spermatogonia primary spermatocytes and neuronal cells (By similarity) Predominantly cytosolic or perinuclear in some colorectal carcinoma cells {ECO:0000250}"	"overlaps 3"	58	"CYTOSOL"	0.75	"HUWE1"	"-"	114	18	20	8	10	10	4	4	6	1	"-"	99	1	"-"	89	1	11	"-"	75	23	2
"IPO9"	""	"Cytoplasm"	"Vesicles"	"Uncertain"	"cytoplasm; membrane; nucleus"	" Cytoplasm {ECO:0000250} Nucleus {ECO:0000250}"	"overlaps 3"	58	"CYTOSOL"	0.75	"IPO9"	"-"	114	18	18	8	8	8	4	8	8	4	"-"	100	1	"-"	88	1	12	"-"	77	23	1
"IREB2"	"CYTOSOL"	NA	NA	NA	"cytoplasm; cytosol; mitochondrion"	" Cytoplasm"	"overlaps 3"	58	"CYTOSOL"	0.75	"IREB2"	"-"	54	16	22	8	20	18	4	12	28	18	"-"	100	1	"-"	88	1	12	"-"	75	25	1
"TIGAR"	""	NA	NA	NA	"intracellular"	NA	"overlaps 3"	58	"CYTOSOL"	0.75	"TIGAR"	"-"	108	20	22	10	14	4	4	10	8	1	"-"	100	1	"-"	88	1	12	"-"	75	25	1
"UMPS"	""	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; nucleus"	NA	"overlaps 3"	58	"CYTOSOL"	0.75	"UMPS"	"-"	132	14	18	4	8	6	4	6	6	1	"-"	99	1	"-"	88	1	12	"-"	76	23	1
"ALDH16A1"	"CYTOSOL"	"Mitochondria"	NA	"Supportive"	"extracellular vesicular exosome; membrane"	NA	"overlaps 3"	244	"CYTOSOL"	0.75	"ALDH16A1"	"-"	96	28	24	10	12	16	4	6	4	1	"-"	100	1	"-"	94	2	4	"-"	81	19	1
"ATXN10"	""	"Plasma membrane;Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; dendrite; extracellular space; membrane; neuronal cell body; perinuclear region of cytoplasm; plasma membrane"	" Cytoplasm perinuclear region {ECO:0000269|PubMed:16498633}"	"overlaps 3"	244	"CYTOSOL"	0.75	"ATXN10"	"-"	92	18	18	10	16	10	6	12	12	4	"-"	100	1	"-"	97	1	3	"-"	78	21	1
"LAGE3"	"NUCLEUS"	"Nucleus but not nucleoli"	NA	"Uncertain"	"nucleus"	" Nucleus {ECO:0000269|PubMed:22912744}"	"overlaps 3"	244	"CYTOSOL"	0.75	"LAGE3"	"-"	142	20	24	1	8	1	1	4	4	1	"-"	100	1	"-"	95	1	5	"-"	83	17	1
"RIC8A"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; plasma membrane"	" Cytoplasm {ECO:0000250} Cell membrane {ECO:0000250} Note=Colocalizes with RIC8A in CA2 hippocampal neurons Colocalizes with GNAI1 and RGS14 at the plasma membrane (By similarity) {ECO:0000250}"	"overlaps 3"	244	"CYTOSOL"	0.75	"RIC8A"	"-"	70	36	40	16	20	10	1	1	1	4	"-"	100	1	"-"	93	1	7	"-"	80	20	1
"XPNPEP1"	"CYTOSOL"	"Cytoplasm"	NA	"Supportive"	"cytoplasm; cytosol; extracellular vesicular exosome"	" Cytoplasm "	"overlaps 3"	244	"CYTOSOL"	0.75	"XPNPEP1"	"-"	98	28	26	10	14	8	4	6	6	1	"-"	98	2	"-"	94	1	6	"-"	80	20	1
"ACAT2"	"CYTOSOL"	"Cytoplasm"	"Nucleus"	"Supportive"	"cytoplasm; extracellular vesicular exosome; nucleolus; nucleus"	" Cytoplasm"	"overlaps 3"	247	"CYTOSOL"	0.75	"ACAT2"	"-"	108	24	26	12	14	6	1	4	1	1	"-"	100	1	"-"	91	1	9	"-"	73	27	1
"GFPT1"	""	"Nucleoli"	"Nucleus"	"Uncertain"	"cytosol; extracellular vesicular exosome"	NA	"overlaps 3"	247	"CYTOSOL"	0.75	"GFPT1"	"-"	74	22	18	12	18	10	6	18	20	4	"-"	100	1	"-"	88	1	12	"-"	73	26	1
"NAMPT"	""	"Nucleus but not nucleoli"	NA	"Supportive"	"cytosol; extracellular space; extracellular vesicular exosome; nucleus"	" Nucleus {ECO:0000269|PubMed:24130902} Cytoplasm {ECO:0000250|UniProtKB:Q99KQ4} Secreted {ECO:0000269|PubMed:21741723} Note=Under non-inflammatory conditions visfatin predominantly exhibits a granular pattern within the nucleus Secreted by endothelial cells upon IL-1beta stimulation Abundantly secreted in milk reaching 100-fold higher concentrations compared to maternal serum {ECO:0000269|PubMed:21741723 ECO:0000269|PubMed:24130902}"	"overlaps 3"	247	"CYTOSOL"	0.75	"NAMPT"	"-"	100	20	20	10	10	8	4	12	12	4	"-"	99	1	"-"	89	1	11	"-"	73	27	1
